lighting,trial,estimator,script_mode,run_name,master_bag,experiment_bag,gt_topic,estimator_topic,master_exists,experiment_exists
bright,t01,wheel,wheel,bright_t01_wheel,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/bags/trajectories/bright/traj_cmd_v6_bright/traj_cmd_v6_bright,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/bags/experiments/wheel_only/bright/run_wheel_v6_bright/run_wheel_v6_bright,/gt/odom,/odom,True,True
bright,t01,ekf,ekf,bright_t01_ekf,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/bags/trajectories/bright/traj_cmd_v6_bright/traj_cmd_v6_bright,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/bags/experiments/ekf/bright/run_ekf_v6_bright/run_ekf_v6_bright,/gt/odom,/odometry/filtered,True,True
bright,t01,orbslam3,orb,bright_t01_orbslam3,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/bags/trajectories/bright/traj_cmd_v6_bright/traj_cmd_v6_bright,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/bags/experiments/orbslam3/bright/run_orbslam3_v6_bright/run_orbslam3_v6_bright,/gt/odom,/orbslam3/pose,True,True
bright,t02,wheel,wheel,bright_t02_wheel,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/bags/trajectories/bright/traj_cmd_v6_bright_t02/traj_cmd_v6_bright_t02,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/bags/experiments/wheel_only/bright/run_wheel_v6_bright_t02/run_wheel_v6_bright_t02,/gt/odom,/odom,True,True
bright,t02,ekf,ekf,bright_t02_ekf,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/bags/trajectories/bright/traj_cmd_v6_bright_t02/traj_cmd_v6_bright_t02,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/bags/experiments/ekf/bright/run_ekf_v6_bright_t02/run_ekf_v6_bright_t02,/gt/odom,/odometry/filtered,True,True
bright,t02,orbslam3,orb,bright_t02_orbslam3,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/bags/trajectories/bright/traj_cmd_v6_bright_t02/traj_cmd_v6_bright_t02,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/bags/experiments/orbslam3/bright/run_orbslam3_v6_bright_t02/run_orbslam3_v6_bright_t02,/gt/odom,/orbslam3/pose,True,True
bright,t03,wheel,wheel,bright_t03_wheel,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/bags/trajectories/bright/traj_cmd_v6_bright_t03/traj_cmd_v6_bright_t03,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/bags/experiments/wheel_only/bright/run_wheel_v6_bright_t03/run_wheel_v6_bright_t03,/gt/odom,/odom,True,True
bright,t03,ekf,ekf,bright_t03_ekf,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/bags/trajectories/bright/traj_cmd_v6_bright_t03/traj_cmd_v6_bright_t03,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/bags/experiments/ekf/bright/run_ekf_v6_bright_t03/run_ekf_v6_bright_t03,/gt/odom,/odometry/filtered,True,True
bright,t03,orbslam3,orb,bright_t03_orbslam3,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/bags/trajectories/bright/traj_cmd_v6_bright_t03/traj_cmd_v6_bright_t03,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/bags/experiments/orbslam3/bright/run_orbslam3_v6_bright_t03/run_orbslam3_v6_bright_t03,/gt/odom,/orbslam3/pose,True,True
dim,t01,wheel,wheel,dim_t01_wheel,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/bags/trajectories/dim/traj_cmd_v6_dim/traj_cmd_v6_dim,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/bags/experiments/wheel_only/dim/run_wheel_v6_dim/run_wheel_v6_dim,/gt/odom,/odom,True,True
dim,t01,ekf,ekf,dim_t01_ekf,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/bags/trajectories/dim/traj_cmd_v6_dim/traj_cmd_v6_dim,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/bags/experiments/ekf/dim/run_ekf_v6_dim/run_ekf_v6_dim,/gt/odom,/odometry/filtered,True,True
dim,t01,orbslam3,orb,dim_t01_orbslam3,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/bags/trajectories/dim/traj_cmd_v6_dim/traj_cmd_v6_dim,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/bags/experiments/orbslam3/dim/run_orbslam3_v6_dim/run_orbslam3_v6_dim,/gt/odom,/orbslam3/pose,True,True
dim,t02,wheel,wheel,dim_t02_wheel,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/bags/trajectories/dim/traj_cmd_v6_dim_t02/traj_cmd_v6_dim_t02,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/bags/experiments/wheel_only/dim/run_wheel_v6_dim_t02/run_wheel_v6_dim_t02,/gt/odom,/odom,True,True
dim,t02,ekf,ekf,dim_t02_ekf,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/bags/trajectories/dim/traj_cmd_v6_dim_t02/traj_cmd_v6_dim_t02,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/bags/experiments/ekf/dim/run_ekf_v6_dim_t02/run_ekf_v6_dim_t02,/gt/odom,/odometry/filtered,True,True
dim,t02,orbslam3,orb,dim_t02_orbslam3,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/bags/trajectories/dim/traj_cmd_v6_dim_t02/traj_cmd_v6_dim_t02,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/bags/experiments/orbslam3/dim/run_orbslam3_v6_dim_t02/run_orbslam3_v6_dim_t02,/gt/odom,/orbslam3/pose,True,True
dim,t03,wheel,wheel,dim_t03_wheel,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/bags/trajectories/dim/traj_cmd_v6_dim_t03/traj_cmd_v6_dim_t03,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/bags/experiments/wheel_only/dim/run_wheel_v6_dim_t03/run_wheel_v6_dim_t03,/gt/odom,/odom,True,True
dim,t03,ekf,ekf,dim_t03_ekf,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/bags/trajectories/dim/traj_cmd_v6_dim_t03/traj_cmd_v6_dim_t03,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/bags/experiments/ekf/dim/run_ekf_v6_dim_t03/run_ekf_v6_dim_t03,/gt/odom,/odometry/filtered,True,True
dim,t03,orbslam3,orb,dim_t03_orbslam3,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/bags/trajectories/dim/traj_cmd_v6_dim_t03/traj_cmd_v6_dim_t03,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/bags/experiments/orbslam3/dim/run_orbslam3_v6_dim_t03/run_orbslam3_v6_dim_t03,/gt/odom,/orbslam3/pose,True,True
lowlight,t01,wheel,wheel,lowlight_t01_wheel,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/bags/trajectories/lowlight/traj_cmd_v6_lowlight/traj_cmd_v6_lowlight,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/bags/experiments/wheel_only/lowlight/run_wheel_v6_lowlight/run_wheel_v6_lowlight,/gt/odom,/odom,True,True
lowlight,t01,ekf,ekf,lowlight_t01_ekf,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/bags/trajectories/lowlight/traj_cmd_v6_lowlight/traj_cmd_v6_lowlight,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/bags/experiments/ekf/lowlight/run_ekf_v6_lowlight/run_ekf_v6_lowlight,/gt/odom,/odometry/filtered,True,True
lowlight,t01,orbslam3,orb,lowlight_t01_orbslam3,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/bags/trajectories/lowlight/traj_cmd_v6_lowlight/traj_cmd_v6_lowlight,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/bags/experiments/orbslam3/lowlight/run_orbslam3_v6_lowlight/run_orbslam3_v6_lowlight,/gt/odom,/orbslam3/pose,True,True
